Tabla Variable z
  Vivienda    Material    Variante    Trabajador       Días
         1           4           7            18  0
         1           4           7            19  0
         1           4           7            20  0
         1           4           7            21  0
         1           4           7            22  0
         1           4           7            23  0
         1           4           7            24  0
         1           4           7            25  0
         1           4           7            26  0
         1           4           7            27  0
         1           4           7            28  0
         1           4           7            29  0
         1           4           7            30  0
         1           5           1             1  0
         1           5           1             2  0
         1           5           1             3  0
         1           5           1             4  0
         1           5           1             5  0
         1           5           1             6  0
         1           5           1             7  0
         1           5           1             8  0
         1           5           1             9  0
         1           5           1            10  0
         1           5           1            11  0
         1           5           1            12  0
         1           5           1            13  0
         1           5           1            14  0
         1           5           1            15  0
         1           5           1            16  0
         1           5           1            17  0
         1           5           1            18  0
         1           5           1            19  0
         1           5           1            20  0
         1           5           1            21  0
         1           5           1            22  0
         1           5           1            23  0
         1           5           1            24  0
         1           5           1            25  0
         1           5           1            26  0
         1           5           1            27  0
         1           5           1            28  0
         1           5           1            29  0
         1           5           1            30  0
         1           5           2             1  0
         1           5           2             2  0
         1           5           2             3  0
         1           5           2             4  0
         1           5           2             5  0
         1           5           2             6  0
         1           5           2             7  0
         1           5           2             8  0
         1           5           2             9  0
         1           5           2            10  0
         1           5           2            11  0
         1           5           2            12  0
         1           5           2            13  0
         1           5           2            14  0
         1           5           2            15  0
         1           5           2            16  0
         1           5           2            17  0
         1           5           2            18  0
         1           5           2            19  0
         1           5           2            20  0
         1           5           2            21  0
